Ano;CodOrgao;SiglaPPG;NomePPG;NivelCursoPG;NrMatriculados;NrTitulados
2022;10081;PPGMNPEF;Mestrado Nacional Profissional em Ensino de Física;Mestrado Profissional;21;4
2014;1074;PPGBIOAN;Programa de Pós-Graduação em Biologia Animal;Mestrado Acadêmico;55;24
2018;8592;PPGPP;Programa de Pós-Graduação em Políticas Públicas;Doutorado;40;1
2013;443;PPGA;Programa de Pós-Graduação em Administração;Mestrado Profissional;48;8
2016;8592;PPGPP;Programa de Pós-Graduação em Políticas Públicas;Doutorado;21;0
2010;3646;PPGECIES;Programa de Pós-Graduação Educação em Ciências: Química da Vida e Saúde - Associação de IES;Doutorado;16;0
2016;420;PPGC;Programa de Pós-Graduação em Medicina: Ciências Cirúrgicas;Doutorado;37;8
2014;466;PPGVET;Programa de Pós-graduação em Ciências Veterinárias;Mestrado Acadêmico;100;36
2012;466;PPGVET;Programa de Pós-graduação em Ciências Veterinárias;Mestrado Acadêmico;116;37
2019;1376;PPGMAA;Programa de Pós-Graduação em Microbiologia Agrícola e do Ambiente;Mestrado Acadêmico;49;18
2015;3646;PPGECIES;Programa de Pós-Graduação Educação em Ciências: Química da Vida e Saúde - Associação de IES;Doutorado;160;14
2023;1552;PPGPSISI;Programa de Pós-Graduação em Psicologia Social e Institucional;Doutorado;103;11
2022;605;PPGNEURO;Programa de Pós-Graduação em Ciências Biológicas: Neurociências;Mestrado Acadêmico;31;6
2023;437;PPGAV;Programa de Pós-Graduação em Artes Visuais;Mestrado Acadêmico;73;38
2017;427;PPGDIR;Programa de Pós-Graduação em Direito;Doutorado;78;8
2018;3108;PPGAC;Programa de Pós-Graduação em Artes Cênicas;Doutorado;45;4
2011;1132;PPGMAPLI;Programa de Pós-Graduação em Matemática Aplicada;Doutorado;17;2
2018;477;PPGFIL;Programa de Pós-Graduação em Filosofia;Mestrado Acadêmico;27;5
2018;604;PPGEN;Programa de Pós-Graduação em Genética e Biologia Molecular;Doutorado;124;32
2011;480;PPGSOC;Programa de Pós-Graduação em Sociologia;Mestrado Acadêmico;55;12
2010;1521;PPGBCM;Programa de Pós-Graduação em Biologia Celular e Molecular;Mestrado Acadêmico;60;27
2016;478;PPGHIS;Programa de Pós-Graduação em História;Mestrado Acadêmico;96;26
2019;475;PPGANT;Programa de Pós-Graduação em Antropologia Social;Doutorado;76;8
2023;1222;PPGENDO;Programa de Pós-Graduação em Ciências Médicas: Endocrinologia;Mestrado Acadêmico;54;10
2015;605;PPGNEURO;Programa de Pós-Graduação em Ciências Biológicas: Neurociências;Mestrado Acadêmico;28;10
2015;692;PROPUR;Programa de Pós-Graduação em Planejamento Urbano e Regional;Doutorado;42;4
2010;420;PPGC;Programa de Pós-Graduação em Medicina: Ciências Cirúrgicas;Mestrado Acadêmico;92;16
2010;2716;PGMICRO;Programa de Pós-Graduação em Microeletrônica;Mestrado Acadêmico;40;4
2022;1493;PPGEPIDE;Programa de Pós-Graduação em Epidemiologia;Mestrado Acadêmico;43;9
2020;2716;PGMICRO;Programa de Pós-Graduação em Microeletrônica;Doutorado;33;4
2020;644;PPGMATPU;Programa de Pós-Graduação em Matemática Pura;Mestrado Acadêmico;21;2
2023;1521;PPGBCM;Programa de Pós-Graduação em Biologia Celular e Molecular;Doutorado;59;14
2014;4212;PPGMAE;Programa de Pós-Graduação em Medicina Animal: Equinos;Mestrado Acadêmico;33;10
2021;443;PPGA;Programa de Pós-Graduação em Administração;Mestrado Acadêmico;109;20
2021;601;PPGBOT;Programa de Pós-Graduação em Botânica;Mestrado Acadêmico;29;6
2020;1287;PPGSR;Programa de Pós-Graduação em Sensoriamento Remoto;Doutorado;40;2
2017;477;PPGFIL;Programa de Pós-Graduação em Filosofia;Doutorado;38;7
2020;11577;PPGCIN;Programa de Pós-Graduação em Ciência da Informação;Mestrado Acadêmico;43;0
2012;5730;PPGNANO;Programa de Pós-Graduação em Nanotecnologia Farmacêutica;Doutorado;6;0
2023;604;PPGEN;Programa de Pós-Graduação em Genética e Biologia Molecular;Doutorado;102;12
2010;1377;PPGSOLO;Programa de Pós-Graduação em Ciência do Solo;Doutorado;42;7
2016;394;PPGEM;Programa de Pós-Graduação em Engenharia de Minas, Metalúrgica e de Materiais;Mestrado Profissional;9;0
2016;2789;PPGEMAT;Programa de Pós-Graduação em Ensino de Matemática;Mestrado Profissional;50;13
2018;7999;PROFHIST;Programa de Pós-Graduação em Ensino de História;Mestrado Profissional;64;14
2018;3151;PGDESIGN;Programa de Pós-Graduação em Design;Doutorado;106;14
2011;692;PROPUR;Programa de Pós-Graduação em Planejamento Urbano e Regional;Mestrado Acadêmico;65;19
2012;2716;PGMICRO;Programa de Pós-Graduação em Microeletrônica;Mestrado Acadêmico;50;14
2012;414;PPGGAST;Programa de Pós-Graduação Ciências em Gastroenterologia e Hepatologia;Doutorado;19;2
